Song;Effect;Multiplier;MinimumTime
Upside Down;AlternateColorLedOnly;1;22
Upside Down;BlueRed;1;28
Upside Down;AlternateColorLedOnly;1;32
Ring My Bell (Re-Recorded) [Remastered];BlueRed;1;
Ring My Bell (Re-Recorded) [Remastered];CyanYellow;1;17
Ring My Bell (Re-Recorded) [Remastered];AlternateColorLedOnly;1;32
The Final Countdown;Blackout;1;
The Final Countdown;Blue5CrescendoQuarterTempo;1;0.7
The Final Countdown;AlternateColorLedOnlyQuarterTempo;1;10.5
The Final Countdown;AlternateColorLedOnly;1;51
Paris Latino - Original Version 1983;AlternateColorContrasted;1;
Don't Stop Me Now;BlueCyanSmoothQuarter;1;0
Don't Stop Me Now;AlternateColorLedOnly;1;32
Femme Like U (Radio Edit);CyanYellowPurple;1;
Cotton Eyed;LightFlash;1;
